domain,model,votes,delta_bacc_vs_one_vote
DeepResearch,Kimi K2.6,1,0.0
DeepResearch,Kimi K2.6,3,0.405946
DeepResearch,Kimi K2.6,5,0.568006
DeepResearch,Kimi K2.6,7,0.583937
DeepResearch,Kimi K2.6,9,0.735079
DeepResearch,DeepSeek V4 Flash,1,0.0
DeepResearch,DeepSeek V4 Flash,3,0.846615
DeepResearch,DeepSeek V4 Flash,5,1.079141
DeepResearch,DeepSeek V4 Flash,7,1.150496
DeepResearch,DeepSeek V4 Flash,9,0.898147
DeepResearch,GLM-5.1,1,0.0
DeepResearch,GLM-5.1,3,0.798103
DeepResearch,GLM-5.1,5,1.055436
DeepResearch,GLM-5.1,7,1.146981
DeepResearch,GLM-5.1,9,0.869552
DeepResearch,Seed 2.0 Pro,1,0.0
DeepResearch,Seed 2.0 Pro,3,0.303677
DeepResearch,Seed 2.0 Pro,5,0.429694
DeepResearch,Seed 2.0 Pro,7,0.45997
DeepResearch,Seed 2.0 Pro,9,0.257619
DeepResearch,GPT-OSS-120B,1,0.0
DeepResearch,GPT-OSS-120B,3,0.244941
DeepResearch,GPT-OSS-120B,5,0.188655
DeepResearch,GPT-OSS-120B,7,0.104562
DeepResearch,GPT-OSS-120B,9,0.289629
DeepResearch,Qwen3.5-27B,1,0.0
DeepResearch,Qwen3.5-27B,3,-0.173109
DeepResearch,Qwen3.5-27B,5,-0.145772
DeepResearch,Qwen3.5-27B,7,0.047475
DeepResearch,Qwen3.5-27B,9,0.818537
AgenticCoding,Kimi K2.6,1,0.0
AgenticCoding,Kimi K2.6,3,2.314511
AgenticCoding,Kimi K2.6,5,2.98584
AgenticCoding,Kimi K2.6,7,2.984907
AgenticCoding,Kimi K2.6,9,2.746681
AgenticCoding,DeepSeek V4 Flash,1,0.0
AgenticCoding,DeepSeek V4 Flash,3,3.272213
AgenticCoding,DeepSeek V4 Flash,5,4.285245
AgenticCoding,DeepSeek V4 Flash,7,4.534861
AgenticCoding,DeepSeek V4 Flash,9,3.955505
AgenticCoding,GLM-5.1,1,0.0
AgenticCoding,GLM-5.1,3,1.125959
AgenticCoding,GLM-5.1,5,1.584625
AgenticCoding,GLM-5.1,7,2.068148
AgenticCoding,GLM-5.1,9,2.774775
AgenticCoding,Seed 2.0 Pro,1,0.0
AgenticCoding,Seed 2.0 Pro,3,0.367977
AgenticCoding,Seed 2.0 Pro,5,0.331428
AgenticCoding,Seed 2.0 Pro,7,0.374939
AgenticCoding,Seed 2.0 Pro,9,0.618604
AgenticCoding,GPT-OSS-120B,1,0.0
AgenticCoding,GPT-OSS-120B,3,0.641795
AgenticCoding,GPT-OSS-120B,5,-0.050038
AgenticCoding,GPT-OSS-120B,7,-1.318255
AgenticCoding,GPT-OSS-120B,9,-3.609719
AgenticCoding,Qwen3.5-27B,1,0.0
AgenticCoding,Qwen3.5-27B,3,1.64829
AgenticCoding,Qwen3.5-27B,5,1.952393
AgenticCoding,Qwen3.5-27B,7,2.109179
AgenticCoding,Qwen3.5-27B,9,2.887891
