domain,model,prompt,delta_overall,delta_positive_recall,delta_negative_recall,paper_delta_overall,paper_delta_positive_recall,paper_delta_negative_recall
DeepResearch,Kimi K2.6,Flexible,1.8,5.9,-2.2,+1.8,+5.9,-2.2
DeepResearch,Kimi K2.6,Strict,-4.0,-11.2,3.1,-4.0,-11.2,+3.1
DeepResearch,GLM-5.1,Flexible,2.4,4.4,0.5,+2.4,+4.4,+0.5
DeepResearch,GLM-5.1,Strict,-2.9,-11.4,5.5,-2.9,-11.4,+5.5
DeepResearch,Seed 2.0 Pro,Flexible,-0.3,2.9,-3.4,-0.3,+2.9,-3.4
DeepResearch,Seed 2.0 Pro,Strict,1.0,-6.6,8.5,+1.0,-6.6,+8.5
DeepResearch,DeepSeek V4 Flash,Flexible,-1.3,0.6,-3.2,-1.3,+0.6,-3.2
DeepResearch,DeepSeek V4 Flash,Strict,-2.5,-10.9,6.0,-2.5,-10.9,+6.0
DeepResearch,Qwen3.5-27B,Flexible,-0.7,-0.6,-0.8,-0.7,-0.6,-0.8
DeepResearch,Qwen3.5-27B,Strict,0.4,-10.7,11.5,+0.4,-10.7,+11.5
DeepResearch,GPT-OSS-120B,Flexible,-2.5,-1.3,-3.7,-2.5,-1.3,-3.7
DeepResearch,GPT-OSS-120B,Strict,-2.6,-7.1,2.0,-2.6,-7.1,+2.0
AgenticCoding,Kimi K2.6,Flexible,-2.5,-23.1,18.1,-2.5,-23.1,+18.1
AgenticCoding,Kimi K2.6,Strict,-9.2,-36.5,18.1,-9.2,-36.5,+18.1
AgenticCoding,DeepSeek V4 Flash,Flexible,-8.1,3.3,-19.5,-8.1,+3.3,-19.5
AgenticCoding,DeepSeek V4 Flash,Strict,-1.0,-2.2,0.2,-1.0,-2.2,+0.2
AgenticCoding,GLM-5.1,Flexible,-4.1,-13.2,5.1,-4.1,-13.2,+5.1
AgenticCoding,GLM-5.1,Strict,-4.6,-14.4,5.1,-4.6,-14.4,+5.1
AgenticCoding,Seed 2.0 Pro,Flexible,1.8,0.0,3.5,+1.8,+0.0,+3.5
AgenticCoding,Seed 2.0 Pro,Strict,2.8,-1.4,7.0,+2.8,-1.4,+7.0
AgenticCoding,GPT-OSS-120B,Flexible,-5.6,-1.9,-9.4,-5.6,-1.9,-9.4
AgenticCoding,GPT-OSS-120B,Strict,8.5,-0.9,18.0,+8.5,-0.9,+18.0
AgenticCoding,Qwen3.5-27B,Flexible,-5.2,0.8,-11.1,-5.2,+0.8,-11.1
AgenticCoding,Qwen3.5-27B,Strict,11.8,-0.9,24.6,+11.8,-0.9,+24.6
