domain,rank,display_name,model_id,metric,value,value_x100
DeepResearch,1,Gemini-3.1 Pro,gemini-3.1-pro-preview,overall,0.94730517,94.730517
DeepResearch,1,Gemini-3.1 Pro,gemini-3.1-pro-preview,format,0.95641085,95.641085
DeepResearch,1,Gemini-3.1 Pro,gemini-3.1-pro-preview,numbers,0.93771856,93.771856
DeepResearch,1,Gemini-3.1 Pro,gemini-3.1-pro-preview,logic,0.95669327,95.669327
DeepResearch,1,Gemini-3.1 Pro,gemini-3.1-pro-preview,facts,0.93839799,93.839799
DeepResearch,2,Kimi K2.6,kimi-k2.6,overall,0.92199135,92.199135
DeepResearch,2,Kimi K2.6,kimi-k2.6,format,0.94596483,94.596483
DeepResearch,2,Kimi K2.6,kimi-k2.6,numbers,0.90363493,90.363493
DeepResearch,2,Kimi K2.6,kimi-k2.6,logic,0.92803621,92.803621
DeepResearch,2,Kimi K2.6,kimi-k2.6,facts,0.91032943,91.032943
DeepResearch,3,Claude Opus 4.7,claude-opus-4.7,overall,0.91729797,91.729797
DeepResearch,3,Claude Opus 4.7,claude-opus-4.7,format,0.93578665,93.578665
DeepResearch,3,Claude Opus 4.7,claude-opus-4.7,numbers,0.91873122,91.873122
DeepResearch,3,Claude Opus 4.7,claude-opus-4.7,logic,0.91167385,91.167385
DeepResearch,3,Claude Opus 4.7,claude-opus-4.7,facts,0.90300014,90.300014
DeepResearch,4,GLM-5.1,glm-5.1,overall,0.91505565,91.505565
DeepResearch,4,GLM-5.1,glm-5.1,format,0.93590311,93.590311
DeepResearch,4,GLM-5.1,glm-5.1,numbers,0.90947151,90.947151
DeepResearch,4,GLM-5.1,glm-5.1,logic,0.90226932,90.226932
DeepResearch,4,GLM-5.1,glm-5.1,facts,0.91257868,91.257868
DeepResearch,5,GPT-5.4,gpt-5.4,overall,0.91443466,91.443466
DeepResearch,5,GPT-5.4,gpt-5.4,format,0.95072784,95.072784
DeepResearch,5,GPT-5.4,gpt-5.4,numbers,0.93284244,93.284244
DeepResearch,5,GPT-5.4,gpt-5.4,logic,0.86385601,86.385601
DeepResearch,5,GPT-5.4,gpt-5.4,facts,0.91031233,91.031233
DeepResearch,6,Seed 2.0 Pro,doubao-seed-2.0-pro,overall,0.91263046,91.263046
DeepResearch,6,Seed 2.0 Pro,doubao-seed-2.0-pro,format,0.95022709,95.022709
DeepResearch,6,Seed 2.0 Pro,doubao-seed-2.0-pro,numbers,0.91437226,91.437226
DeepResearch,6,Seed 2.0 Pro,doubao-seed-2.0-pro,logic,0.88742086,88.742086
DeepResearch,6,Seed 2.0 Pro,doubao-seed-2.0-pro,facts,0.89850164,89.850164
DeepResearch,7,DeepSeek V4 Pro,deepseek-v4-pro,overall,0.90821749,90.821749
DeepResearch,7,DeepSeek V4 Pro,deepseek-v4-pro,format,0.93978106,93.978106
DeepResearch,7,DeepSeek V4 Pro,deepseek-v4-pro,numbers,0.89489238,89.489238
DeepResearch,7,DeepSeek V4 Pro,deepseek-v4-pro,logic,0.90255987,90.255987
DeepResearch,7,DeepSeek V4 Pro,deepseek-v4-pro,facts,0.89563663,89.563663
DeepResearch,8,Qwen3.6 Max,qwen3.6-max-preview,overall,0.90605167,90.605167
DeepResearch,8,Qwen3.6 Max,qwen3.6-max-preview,format,0.91735181,91.735181
DeepResearch,8,Qwen3.6 Max,qwen3.6-max-preview,numbers,0.91875585,91.875585
DeepResearch,8,Qwen3.6 Max,qwen3.6-max-preview,logic,0.89344588,89.344588
DeepResearch,8,Qwen3.6 Max,qwen3.6-max-preview,facts,0.89465312,89.465312
DeepResearch,9,DeepSeek V4 Flash,deepseek-v4-flash,overall,0.90231061,90.231061
DeepResearch,9,DeepSeek V4 Flash,deepseek-v4-flash,format,0.94584838,94.584838
DeepResearch,9,DeepSeek V4 Flash,deepseek-v4-flash,numbers,0.90705807,90.705807
DeepResearch,9,DeepSeek V4 Flash,deepseek-v4-flash,logic,0.87345934,87.345934
DeepResearch,9,DeepSeek V4 Flash,deepseek-v4-flash,facts,0.88287664,88.287664
DeepResearch,10,Qwen3.5-27B,qwen3.5-27b,overall,0.89831609,89.831609
DeepResearch,10,Qwen3.5-27B,qwen3.5-27b,format,0.92856644,92.856644
DeepResearch,10,Qwen3.5-27B,qwen3.5-27b,numbers,0.92166182,92.166182
DeepResearch,10,Qwen3.5-27B,qwen3.5-27b,logic,0.85954369,85.954369
DeepResearch,10,Qwen3.5-27B,qwen3.5-27b,facts,0.88349241,88.349241
DeepResearch,11,Claude Sonnet 4.6,claude-sonnet-4.6,overall,0.89413954,89.413954
DeepResearch,11,Claude Sonnet 4.6,claude-sonnet-4.6,format,0.95176429,95.176429
DeepResearch,11,Claude Sonnet 4.6,claude-sonnet-4.6,numbers,0.85007142,85.007142
DeepResearch,11,Claude Sonnet 4.6,claude-sonnet-4.6,logic,0.87743524,87.743524
DeepResearch,11,Claude Sonnet 4.6,claude-sonnet-4.6,facts,0.89728722,89.728722
DeepResearch,12,Qwen3.5-122B-A10B,qwen3.5-122b-a10b,overall,0.89340527,89.340527
DeepResearch,12,Qwen3.5-122B-A10B,qwen3.5-122b-a10b,format,0.93501805,93.501805
DeepResearch,12,Qwen3.5-122B-A10B,qwen3.5-122b-a10b,numbers,0.91387972,91.387972
DeepResearch,12,Qwen3.5-122B-A10B,qwen3.5-122b-a10b,logic,0.85400801,85.400801
DeepResearch,12,Qwen3.5-122B-A10B,qwen3.5-122b-a10b,facts,0.87071531,87.071531
DeepResearch,13,Qwen3.5-35B-A3B,qwen3.5-35b-a3b,overall,0.89283177,89.283177
DeepResearch,13,Qwen3.5-35B-A3B,qwen3.5-35b-a3b,format,0.92856644,92.856644
DeepResearch,13,Qwen3.5-35B-A3B,qwen3.5-35b-a3b,numbers,0.90705807,90.705807
DeepResearch,13,Qwen3.5-35B-A3B,qwen3.5-35b-a3b,logic,0.86145518,86.145518
DeepResearch,13,Qwen3.5-35B-A3B,qwen3.5-35b-a3b,facts,0.87424740,87.424740
DeepResearch,14,GPT-OSS-120B,gpt-oss-120b,overall,0.88932699,88.932699
DeepResearch,14,GPT-OSS-120B,gpt-oss-120b,format,0.93874461,93.874461
DeepResearch,14,GPT-OSS-120B,gpt-oss-120b,numbers,0.89245432,89.245432
DeepResearch,14,GPT-OSS-120B,gpt-oss-120b,logic,0.84578096,84.578096
DeepResearch,14,GPT-OSS-120B,gpt-oss-120b,facts,0.88032807,88.032807
DeepResearch,15,Mimo v2.5 Pro,mimo-v2.5-pro,overall,0.88798059,88.798059
DeepResearch,15,Mimo v2.5 Pro,mimo-v2.5-pro,format,0.94803773,94.803773
DeepResearch,15,Mimo v2.5 Pro,mimo-v2.5-pro,numbers,0.88516475,88.516475
DeepResearch,15,Mimo v2.5 Pro,mimo-v2.5-pro,logic,0.85371747,85.371747
DeepResearch,15,Mimo v2.5 Pro,mimo-v2.5-pro,facts,0.86500239,86.500239
DeepResearch,16,Qwen3.5-9B,qwen3.5-9b,overall,0.88113178,88.113178
DeepResearch,16,Qwen3.5-9B,qwen3.5-9b,format,0.91708396,91.708396
DeepResearch,16,Qwen3.5-9B,qwen3.5-9b,numbers,0.90560508,90.560508
DeepResearch,16,Qwen3.5-9B,qwen3.5-9b,logic,0.83906780,83.906780
DeepResearch,16,Qwen3.5-9B,qwen3.5-9b,facts,0.86277025,86.277025
DeepResearch,17,GPT-OSS-20B,gpt-oss-20b,overall,0.85569433,85.569433
DeepResearch,17,GPT-OSS-20B,gpt-oss-20b,format,0.91900547,91.900547
DeepResearch,17,GPT-OSS-20B,gpt-oss-20b,numbers,0.85935576,85.935576
DeepResearch,17,GPT-OSS-20B,gpt-oss-20b,logic,0.82119155,82.119155
DeepResearch,17,GPT-OSS-20B,gpt-oss-20b,facts,0.82322455,82.322455
DeepResearch,18,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,overall,0.51635951,51.635951
DeepResearch,18,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,format,0.49677419,49.677419
DeepResearch,18,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,numbers,0.51263360,51.263360
DeepResearch,18,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,logic,0.53365752,53.365752
DeepResearch,18,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,facts,0.52237274,52.237274
AgenticCoding,1,GPT-5.4,gpt-5.4,overall,0.89392661,89.392661
AgenticCoding,1,GPT-5.4,gpt-5.4,task,0.86385570,86.385570
AgenticCoding,1,GPT-5.4,gpt-5.4,planning,0.92628205,92.628205
AgenticCoding,1,GPT-5.4,gpt-5.4,tools,0.89674523,89.674523
AgenticCoding,1,GPT-5.4,gpt-5.4,rules,0.88882345,88.882345
AgenticCoding,2,Gemini-3.1 Pro,gemini-3.1-pro-preview,overall,0.86476665,86.476665
AgenticCoding,2,Gemini-3.1 Pro,gemini-3.1-pro-preview,task,0.84662224,84.662224
AgenticCoding,2,Gemini-3.1 Pro,gemini-3.1-pro-preview,planning,0.83653846,83.653846
